ht,un,upn,wn,vn,at,gr,is,eg,ws,tt,ct,tw_pp,wt,tr_pt,ts,fep,tc,tf,te,we,ce,ep
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Nesarabad,Sohagdal,7,Purbo sohagdal,Rural ,Male,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Nesarabad,Sohagdal,7,Purbo sohagdal,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Thatch/grass/reeds,No roof,Smooth earth/mud,Yes,"No, not clean due to other reason (please specify)","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),300,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),350,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidraghorapara,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),900,Manually with buckets
Coastal,Nesarabad,Sohagdal,7,Purbo sohagdal,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Thatch/grass/reeds,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Nesarabad,Sohagdal,7,Purbo sohagdal,Rural ,Female,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Thatch/grass/reeds,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Coastal,Nesarabad,Sohagdal,7,Purbo sohagdal,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1300,Manually with buckets
Coastal,Nesarabad,Sohagdal,7,Purbo sohagdal,Rural ,Male,Other (please specify),Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Female,Fishing at Sea/river,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Female,Other (please specify),Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),400,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Thatch/grass/reeds,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Coastal,Nesarabad,Sohagdal,7,Purbo Sohagdal ,Rural ,Male,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Female,Government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),500,Manually with buckets
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Thatch/grass/reeds,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),700,Manually with buckets
Coastal,Satkhira Sadar,Shibpur,3, Khanpur,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),700,Manually with buckets
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Paikgacha,Chadkhali,2,Debduar,Rural ,Male,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Coastal,Paikgacha,Chadkhali,2,Debduar,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Smooth earth/mud,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Paikgacha,Chadkhali,2,Debduar,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Coastal,Paikgacha,Chadkhali,2,Dabduar,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),900,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidraghora Para,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidra ghor para,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidraghora Para,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidra ghor para,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),1200,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),950,Manually with buckets
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidra ghor para,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidraghora Para,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Rampal,Ujolkur,4,Maniknagar,Rural ,Male,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Thatch/grass/reeds,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidraghora Para,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Female,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,Roof exists but is not adequate to protect from rain,Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Male,Other (please specify),Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Shibpur,3,Khanpur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Manually with buckets
Coastal,Taltali,Nishan Baria,9,nidraghor para,Rural ,Male,Other (please specify),Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),700,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidraghor para,Rural ,Female,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidraghor para,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidra ghor para,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidra ghor para,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidra ghor para,Rural ,Male,Fishing at Sea/river,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidra ghor para,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Other (please specify)
Coastal,Taltali,Nishan Baria,9,Nidraghor para,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidraghor para,Rural ,Female,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Coastal,Taltali,Nishan Baria,9,Nidraghora para,Rural ,Male,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Coastal,Taltali,Nishan Baria,9,nidraghora para,Rural ,Female,"Farming (Fish, poultry, cattle etc.)",Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidraghor para,Rural ,Male,Fishing at Sea/river,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1000,Manually with buckets
Coastal,Taltali,Nishan Baria,9,Nidraghor para,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Coastal,Taltali,Boro Bogi,9,Sadagar Para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Taltali,Boro Bogi,9,sadagor para,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Coastal,Taltali,Boro Bogi,9,Sadagor para,Rural ,Female,Day labour ,Bengali,Hard-core poor,,,,,,,,,,,,,
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindokathi,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),2000,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aramkati,Rural ,Female,Other (please specify),Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Nesarabad,Jolabari,7,Aram kathi,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aram kathi,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakathi,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Never emptied,,,
Coastal,Nesarabad,Jolabari,7,Aram khathi,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakathi,Rural ,Male,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Nesarabad,Jolabari,7,Aramkati,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),700,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakathi,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aram kathi,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakathi,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
